volume,vwap,open,close,high,low,timestamp,trades
77199.0,255.3886,255.41,255.4,255.44,255.35,2025-10-01 15:20:00,1233
46766.0,255.4271,255.4126,255.49,255.5,255.3694,2025-10-01 15:21:00,964
108293.0,255.3811,255.4958,255.23,255.515,255.21,2025-10-01 15:22:00,1487
73086.0,255.3205,255.235,255.425,255.4469,255.21,2025-10-01 15:23:00,1086
34710.0,255.3173,255.425,255.23,255.425,255.23,2025-10-01 15:24:00,914
47813.0,255.2347,255.24,255.195,255.31,255.18,2025-10-01 15:25:00,896
72161.0,255.1755,255.215,255.2076,255.23,255.1,2025-10-01 15:26:00,1069
45087.0,255.1466,255.215,255.17,255.23,255.11,2025-10-01 15:27:00,861
65106.0,255.3571,255.18,255.4766,255.4766,255.18,2025-10-01 15:28:00,1148
47791.0,255.4911,255.47,255.5245,255.56,255.39,2025-10-01 15:29:00,991
99943.0,255.6049,255.5301,255.76,255.79,255.5204,2025-10-01 15:30:00,1064
67115.0,255.753,255.7549,255.6801,255.8297,255.67,2025-10-01 15:31:00,1021
58054.0,255.666,255.69,255.7101,255.73,255.62,2025-10-01 15:32:00,980
49336.0,255.6032,255.7,255.61,255.7,255.56,2025-10-01 15:33:00,938
55413.0,255.5792,255.61,255.566,255.63,255.515,2025-10-01 15:34:00,1089
54454.0,255.6143,255.545,255.69,255.75,255.51,2025-10-01 15:35:00,1199
38195.0,255.7518,255.7,255.76,255.795,255.68,2025-10-01 15:36:00,752
41432.0,255.8018,255.76,255.79,255.86,255.76,2025-10-01 15:37:00,920
38988.0,255.8026,255.81,255.82,255.86,255.761,2025-10-01 15:38:00,725
39643.0,255.8178,255.83,255.83,255.857,255.785,2025-10-01 15:39:00,762
54200.0,255.837,255.84,255.77,255.89,255.76,2025-10-01 15:40:00,859
51401.0,255.7999,255.79,255.725,255.8713,255.725,2025-10-01 15:41:00,808
26876.0,255.752,255.72,255.74,255.807,255.69,2025-10-01 15:42:00,618
22993.0,255.7396,255.76,255.73,255.77,255.69,2025-10-01 15:43:00,568
28852.0,255.7607,255.74,255.795,255.82,255.71,2025-10-01 15:44:00,612
133625.0,255.9635,255.795,256.02,256.04,255.795,2025-10-01 15:45:00,1474
43788.0,255.9848,256.015,255.9467,256.04,255.925,2025-10-01 15:46:00,682
41658.0,255.9007,255.9413,255.9,255.97,255.84,2025-10-01 15:47:00,804
37968.0,255.8267,255.9,255.78,255.92,255.75,2025-10-01 15:48:00,727
45860.0,255.7037,255.78,255.685,255.78,255.62,2025-10-01 15:49:00,816
43989.0,255.6813,255.6856,255.665,255.725,255.6187,2025-10-01 15:50:00,871
61810.0,255.6865,255.67,255.555,255.79,255.55,2025-10-01 15:51:00,945
46137.0,255.5961,255.555,255.625,255.65,255.555,2025-10-01 15:52:00,822
